"","Actitis hypoleucos","Alca torda","Anas acuta","Anas clypeata","Anas crecca","Anas penelope","Anas platyrhynchos","Anas querquedula","Anas strepera","Anser albifrons","Anser anser","Anser brachyrhynchus","Anser fabalis","Ardea cinerea","Ardea purpurea","Arenaria interpres","Aythya ferina","Aythya fuligula","Botaurus stellaris","Branta bernicla","Branta canadensis","Branta leucopsis","Bucephala clangula","Calidris alba","Calidris alpina","Calidris canutus","Calidris ferruginea","Calidris minuta","Cepphus grylle","Charadrius alexandrinus","Charadrius dubius","Charadrius hiaticula","Chlidonias niger","Ciconia ciconia","Cygnus columbianus","Cygnus cygnus","Cygnus olor","Fulica atra","Gallinago gallinago","Gallinula chloropus","Grus grus","Haematopus ostralegus","Hydroprogne caspia","Larus argentatus","Larus canus","Larus fuscus","Larus marinus","Larus melanocephalus","Larus ridibundus","Limosa lapponica","Limosa limosa","Lymnocryptes minimus","Mergus merganser","Mergus serrator","Morus bassanus","Numenius arquata","Numenius phaeopus","Nycticorax nycticorax","Phalacrocorax aristotelis","Phalacrocorax carbo","Philomachus pugnax","Platalea leucorodia","Pluvialis apricaria","Pluvialis squatarola","Podiceps cristatus","Rallus aquaticus","Recurvirostra avosetta","Rissa tridactyla","Scolopax rusticola","Somateria mollissima","Stercorarius skua","Sterna hirundo","Sterna paradisaea","Sternula albifrons","Tachybaptus ruficollis","Tadorna tadorna","Thalasseus sandvicensis","Tringa erythropus","Tringa glareola","Tringa nebularia","Tringa ochropus","Tringa totanus","Uria aalge","Vanellus vanellus"
"Chlidonias niger",1,1,0.99540757749713,0.989808917197452,0.99791829300026,0.997780244173141,0.996926623127161,0.994791666666667,1,0.993594306049822,0.989053948397185,0.98936170212766,1,0.994214876033058,0.992217898832685,1,1,0.993623804463337,1,1,1,1,1,0.985714285714286,1,1,1,1,1,1,0.972602739726027,1,0,0.996913580246914,0.992647058823529,1,0.993402450518379,0.993562231759657,0.998220640569395,0.991752577319588,1,0.995294117647059,1,0.999286860402924,0.997393287715868,1,0.997872340425532,1,0.997938144329897,1,0.977839335180055,1,1,1,1,1,1,1,1,0.997213514454894,0.99625468164794,0.979166666666667,0.981351981351981,1,1,0.984962406015037,0.99163179916318,1,1,1,1,0.985422740524781,1,0.991452991452991,0.980582524271845,1,1,1,0.994974874371859,1,1,0.998037291462218,1,0.988719684151156
"Ciconia ciconia",0.996132463137539,0.999521531100478,0.996992481203008,0.995622674545853,0.991870984659761,0.996157950907151,0.974193548387097,0.997120921305182,0.997109826589595,0.962693357597816,0.969978273750741,0.998489425981873,0.992774892752314,0.965506125080593,0.994060876020787,0.999505562422744,0.99727582292849,0.997037037037037,0.996937212863706,1,0.998988621997472,0.999509443218052,0.99948717948718,1,0.997904296192805,0.999520958083832,1,0.999496348526819,1,0.998469387755102,0.996946564885496,0.998174349612049,0.996913580246914,0,0.990631163708087,0.983920548593048,0.904085700049826,0.97921967769296,0.993887530562347,0.992504099320684,0.979990239141044,0.992706053975201,1,0.981049717875013,0.993579454253612,0.997936868165876,0.997883149872989,0.998539435248296,0.981068464730291,0.999493029150824,0.996139927623643,0.997939206594539,1,0.998971722365039,1,0.997700620832375,0.998477543770617,0.9989688063934,1,0.983771600300526,0.997220935618342,0.996561886051081,0.997151673391882,0.998987598076436,0.9994844031967,0.998468215471024,0.996715157203191,0.999488883209813,0.999508599508599,0.999583940087373,1,0.988366890380313,0.997095837366893,0.997511199601792,0.996912786210445,0.997633136094675,0.995082700044703,0.998984255967496,0.997608799617408,1,0.999485331960885,0.997501561524047,0.999049429657795,0.991002339391758
"Cygnus columbianus",1,1,0.978825794032724,0.989506820566632,0.990526053353278,0.97754911131899,0.981019724599925,1,0.992537313432836,0.93216924110141,0.965445749827229,0.955056179775281,0.940959409594096,0.971406491499227,0.967058823529412,1,0.997465145754119,0.996393146979261,0.986754966887417,0.993355481727575,1,0.926247288503254,1,1,0.999052132701422,0.996422182468694,1,1,1,1,1,1,0.992647058823529,0.990631163708087,0,0.947797716150081,0.971894832275612,0.989090909090909,0.993808049535604,0.978560490045942,1,0.966809421841542,1,0.995153193699152,0.994439295644115,0.993501218521527,0.998194945848375,1,0.993563685636856,0.993920972644377,0.947069943289225,1,1,0.992700729927007,1,0.983628922237381,1,1,1,0.992102665350444,0.988603988603989,0.969298245614035,0.966499162479062,1,1,1,0.987616099071208,1,0.995594713656388,0.994962216624685,1,0.967213114754098,0.996124031007752,1,0.992619926199262,0.993431855500821,0.988344988344988,1,1,1,1,0.994945240101095,0.996621621621622,0.979392065945389
"Cygnus cygnus",1,1,0.991749174917492,0.994671403197158,0.994263862332696,0.998389694041868,0.981251126735172,1,1,0.980958425896541,0.971604938271605,0.996219281663516,0.983772819472617,0.978268743208982,1,0.990033222591362,0.98960498960499,0.990639625585023,0.995789473684211,0.9957805907173,1,0.990536277602524,1,0.995841995841996,0.997371879106439,0.983606557377049,0.996240601503759,0.996212121212121,0.996240601503759,1,0.995893223819302,0.993610223642172,1,0.983920548593048,0.947797716150081,0,0.974263904034896,0.984289080911233,0.998634812286689,0.987893462469734,0.987786259541985,0.98922097011269,1,0.984201680672269,0.985923753665689,0.992877492877493,0.992193598750976,1,0.98881562473917,0.98804780876494,0.988603988603989,1,1,0.973154362416107,1,0.995584988962472,0.995983935742972,1,0.99630314232902,0.985678704856787,0.997714285714286,0.987281399046105,0.997402597402598,0.992125984251969,1,0.9957805907173,0.987789987789988,0.995744680851064,0.990430622009569,0.989736070381232,1,0.980525803310613,0.947750362844702,0.989565217391304,1,0.9846547314578,0.967022308438409,0.991919191919192,0.997293640054127,0.995975855130785,1,0.994117647058824,0.997385620915033,0.986754966887417
"Cygnus olor",0.987981304251057,0.996913580246914,0.984434244661744,0.976040609137056,0.966929725667042,0.981749652846657,0.912689920821742,0.995137046861185,0.991570541259982,0.911942446043166,0.929876360952205,0.989833641404806,0.982445141065831,0.929573170731707,0.991357743916307,0.989547830038628,0.982356647763075,0.959063176540051,0.99298081422555,0.996255558155862,0.980514961725818,0.990525603428829,0.99812030075188,0.993457943925234,0.968760276224926,0.983226660781285,0.995382128838605,0.997226715969494,0.997691064419303,0.992984097287184,0.995800279981335,0.977627691008865,0.993402450518379,0.904085700049826,0.971894832275612,0.974263904034896,0,0.938880126182965,0.979483282674772,0.973189189189189,0.975752132914234,0.94041095890411,1,0.877115601600164,0.939797475378,0.974245627522583,0.958661417322835,0.995071684587814,0.914195183776933,0.991164845384794,0.981337480559876,0.999056158565361,0.998582565556343,0.992463495054169,0.999060591827149,0.988097768331562,0.999534558994647,0.998110979929162,0.993087557603687,0.937241477677935,0.987163029525032,0.988708220415538,0.984679360910484,0.992570234501974,0.994332939787485,0.998127779077931,0.977912516240797,0.996720543452799,0.995933122458202,0.974433468913422,1,0.942809780356403,0.970588235294118,0.982624599908551,0.995286353994815,0.981226806374154,0.967701863354037,0.994876571960876,0.99118554429264,0.995810055865922,0.999528524280999,0.961232797053692,0.993865030674847,0.953661423981059
"Fulica atra",0.979678238780694,0.998366013071895,0.950559152442613,0.935523868567886,0.937486619567544,0.94331983805668,0.915147497514087,0.975247524752475,0.94314381270903,0.968114348543156,0.937351684859991,0.998031496062992,0.986422267481331,0.939655172413793,0.979723502304148,0.983471074380165,0.904761904761905,0.881288863764839,0.981288981288981,0.989594172736733,0.981981981981982,0.991079393398751,0.99364406779661,1,0.975451263537906,0.98687448728466,0.998037291462218,0.994088669950739,1,0.981327800829876,0.987679671457905,0.977559607293128,0.993562231759657,0.97921967769296,0.989090909090909,0.984289080911233,0.938880126182965,0,0.956967213114754,0.907083015993907,0.998248686514886,0.947784810126582,1,0.954015845890943,0.950218116499872,0.978847170809096,0.976244343891403,0.991319444444444,0.960378569136991,0.987866531850354,0.974768713204373,0.991360691144708,0.993485342019544,0.982869379014989,0.997885835095137,0.9770279971285,0.995939086294416,1,0.998054474708171,0.961611246282779,0.969162995594714,0.978494623655914,0.979315831344471,0.981909547738693,0.976164680390033,0.989594172736733,0.947932618683001,0.99791013584117,0.991023339317774,0.969746083198271,1,0.932628797886394,0.923469387755102,0.973634651600753,0.978517722878625,0.941686367218282,0.963109354413702,0.979633401221996,0.980424143556281,0.971544715447154,0.997849462365591,0.9469409853817,0.996805111821086,0.958477508650519
"Gallinago gallinago",0.957756737072105,0.997175141242938,0.978847170809096,0.951246537396122,0.944478716841456,0.968766267568975,0.958239640218439,0.975783475783476,0.974063400576369,0.985900783289817,0.97477163984341,0.995033112582781,0.993993993993994,0.969186046511628,0.981205951448708,0.985948477751756,0.97684338817794,0.971443141254462,0.991334488734835,0.993061578490893,0.988245172124265,0.990860624523991,1,1,0.927076299797434,0.973068745570517,0.98018166804294,0.983429991714996,1,0.984429065743945,0.984562607204117,0.943139678615575,0.998220640569395,0.993887530562347,0.993808049535604,0.998634812286689,0.979483282674772,0.956967213114754,0,0.949501661129568,0.998500749625187,0.952941176470588,1,0.980389198974204,0.957935925654194,0.985597695631301,0.985714285714286,0.986607142857143,0.969826224328594,0.984758679085521,0.969587255611875,0.989266547406082,0.998203054806828,0.996447602131439,1,0.95583596214511,0.979609175870858,1,0.99672131147541,0.988691852994089,0.93951093951094,0.984709480122324,0.98343685300207,0.983150800336984,0.994618834080717,0.991326973113617,0.951935914552737,0.998259355961706,0.993874425727412,0.984336759667156,1,0.962485345838218,0.983918128654971,0.977671451355662,0.992876224398932,0.958932238193019,0.977777777777778,0.971039182282794,0.954866008462623,0.974489795918367,0.980392156862745,0.916625796959294,0.991689750692521,0.940565699964196
"Gallinula chloropus",0.959128065395095,0.992277992277992,0.950479233226837,0.934819897084048,0.957386363636364,0.953198127925117,0.946303919813854,0.97124183006536,0.957276368491322,0.971168912566593,0.967469879518072,0.989455184534271,0.98635477582846,0.954302034987504,0.990595611285267,0.968847352024922,0.956087824351297,0.950075642965204,0.980582524271845,0.98443579766537,0.97463768115942,0.98813056379822,0.995975855130785,0.99232245681382,0.963839862247094,0.976683937823834,0.996503496503496,0.985915492957746,1,0.965183752417795,0.977229601518027,0.959141981613892,0.991752577319588,0.992504099320684,0.978560490045942,0.987893462469734,0.973189189189189,0.907083015993907,0.949501661129568,0,1,0.934646804420951,1,0.976627712854758,0.95536231884058,0.973684210526316,0.971233913701741,0.985815602836879,0.97570917560935,0.959409594095941,0.946091644204852,0.987473903966597,0.9957805907173,0.995893223819302,0.991983967935872,0.94291754756871,0.966542750929368,1,0.993115318416523,0.987084870848709,0.951912568306011,0.976083707025411,0.967901234567901,0.967153284671533,0.978991596638656,0.980544747081712,0.927823050058207,1,0.982008995502249,0.981481481481481,1,0.938144329896907,0.96159122085048,0.970731707317073,0.983471074380165,0.917274939172749,0.968253968253968,0.973831775700934,0.966623876765083,0.981378026070763,0.979296066252588,0.938571428571429,0.985093167701863,0.934076137418756
"Grus grus",0.996447602131439,1,1,1,0.999506538366642,1,0.998522895125554,1,0.996539792387543,0.988079470198675,0.983881799865682,1,0.99766081871345,0.997718631178707,1,1,1,0.996524761077324,1,1,0.994750656167979,1,0.993865030674847,1,1,1,1,1,1,1,1,0.995049504950495,1,0.979990239141044,1,0.987786259541985,0.975752132914234,0.998248686514886,0.998500749625187,1,0,1,1,0.995188176662657,0.998170173833486,0.998428908091123,0.998260869565217,1,0.999324894514768,1,1,1,1,0.993670886075949,1,1,1,1,1,0.994157740993184,1,1,1,1,1,1,1,1,1,1,1,0.986607142857143,1,0.995495495495496,1,1,0.997777777777778,1,0.996710526315789,1,1,1,1,1
"Haematopus ostralegus",0.978450487429451,0.981927710843373,0.954600729631131,0.956320873582528,0.934546791689649,0.947937525030036,0.921199647162599,0.985858585858586,0.985743380855397,0.9187471629596,0.933913043478261,0.97085201793722,0.983043284248104,0.921812749003984,0.991365353480842,0.925686591276252,0.988272440234551,0.973196689002759,0.990751445086705,0.967611336032389,0.985285795132994,0.953414505029116,0.998831775700935,0.964285714285714,0.884115319389486,0.885254151987922,0.985450475657527,0.997756590016825,0.99776161163962,0.963048498845266,0.991963260619977,0.928896991795807,0.995294117647059,0.992706053975201,0.966809421841542,0.98922097011269,0.94041095890411,0.947784810126582,0.952941176470588,0.934646804420951,1,0,1,0.890909090909091,0.907395498392283,0.921775103422339,0.954258675078864,0.988541666666667,0.932154729525536,0.949914627205464,0.931527848748084,0.995277449822904,1,0.990599294947121,0.987164527421237,0.91207774178621,0.987450085567599,1,0.976614699331849,0.964181777479293,0.953051643192488,0.9447983014862,0.941728395061728,0.94781622234827,0.994086339444116,0.995373048004627,0.902603664416586,0.989565217391304,0.986184909670563,0.932035127911417,0.995307917888563,0.882559158632778,0.946502057613169,0.958469945355191,0.991759858740435,0.886107020127639,0.905511811023622,0.987428571428571,0.988966900702106,0.988584474885845,0.995288574793875,0.861567877629063,0.962376237623762,0.890175126150193
"Hydroprogne caspia",1,0.993103448275862,1,1,0.999503352371492,1,1,1,0.996376811594203,1,1,1,1,1,1,1,1,0.991111111111111,1,1,1,1,0.986666666666667,1,1,1,1,1,0.978666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.990333160711203,0.991392560713188,0.99037690457097,0.980427046263345,1,0.998985115020298,1,0.996330275229358,1,1,1,1,1,1,1,1,0.992798690671031,1,1,1,1,1,1,1,1,1,0.996685998342999,1,0.997701149425287,0.996240601503759,1,1,1,1,1,1,1,1,1,1,1
