iba_label,degree_in,strength_in,betweenness,log.degree_in,log.strength_in,log.betweenness,species_name,pc1,is_flu
NL089,11,19,104.915415140415,2.484906649788,2.99573227355399,4.66264080519079,Larus_argentatus,-2.96511868799829,1
NL038,15,48,109.369932844933,2.77258872223978,3.89182029811063,4.70383774933062,Larus_argentatus,-3.64107978034881,0
NL052,22,65,2055.70910421664,3.13549421592915,4.18965474202643,7.62886246215943,Larus_argentatus,-4.71808692952162,0
NL015,11,74,21.2423611111111,2.484906649788,4.31748811353631,3.10199862881522,Larus_argentatus,-3.29786365152584,1
NL077,4,4,12,1.6094379124341,1.6094379124341,2.56494935746154,Larus_argentatus,-1.15616815431789,0
BE024,0,0,0,0,0,0,Larus_argentatus,1.38193654918822,0
NL073,6,9,39.2539682539682,1.94591014905531,2.30258509299405,3.69520858916558,Larus_argentatus,-2.00962978249144,0
NL053,13,62,618.167881709121,2.63905732961526,4.14313472639153,6.42837645030539,Larus_argentatus,-4.07645119612397,1
BE023,0,0,0,0,0,0,Larus_argentatus,1.38193654918822,0
NL050,7,10,50.773156731899,2.07944154167984,2.39789527279837,3.94687180513943,Larus_argentatus,-2.20914827299612,0
NL078,1,1,7.8184854034854,0.693147180559945,0.693147180559945,2.17685013231179,Larus_argentatus,0.0426943298461375,0
NL076,3,4,18.0056393443158,1.38629436111989,1.6094379124341,2.94473574272335,Larus_argentatus,-1.0897546178146,0
NL063,5,11,98.3853174603175,1.79175946922805,2.484906649788,4.59900439108526,Larus_argentatus,-2.20632168818259,0
NL014,7,17,0,2.07944154167984,2.89037175789616,0,Larus_argentatus,-1.56054026928954,0
NL048,10,18,0,2.39789527279837,2.94443897916644,0,Larus_argentatus,-1.80801383869593,0
NL072,2,4,0,1.09861228866811,1.6094379124341,0,Larus_argentatus,-0.215711302358734,1
NL017,1,3,0,0.693147180559945,1.38629436111989,0,Larus_argentatus,0.180050121544256,0
NL055,7,10,0,2.07944154167984,2.39789527279837,0,Larus_argentatus,-1.30307172130199,0
NL094,7,10,0,2.07944154167984,2.39789527279837,0,Larus_argentatus,-1.30307172130199,0
NL041,1,2,0,0.693147180559945,1.09861228866811,0,Larus_argentatus,0.330451384787316,0
NL090,1,2,0,0.693147180559945,1.09861228866811,0,Larus_argentatus,0.330451384787316,0
NL018,3,4,0,1.38629436111989,1.6094379124341,0,Larus_argentatus,-0.413736713219145,0
NL107,3,3,0,1.38629436111989,1.38629436111989,0,Larus_argentatus,-0.297076430163706,0
LT006,1,1,0,0.693147180559945,0.693147180559945,0,Larus_argentatus,0.542430059512254,0
NL079,1,1,0,0.693147180559945,0.693147180559945,0,Larus_argentatus,0.542430059512254,0
NL091,1,1,0,0.693147180559945,0.693147180559945,0,Larus_argentatus,0.542430059512254,0
NL075,2,2,0,1.09861228866811,1.09861228866811,0,Larus_argentatus,0.0513502439397648,0
NL074,1,1,0,0.693147180559945,0.693147180559945,0,Larus_argentatus,0.542430059512254,0
NL034,17,95,2201.8532655568,2.89037175789616,4.56434819146784,7.69750873793709,Cygnus_olor,-4.76100749242644,0
NL094,44,159,463,3.80666248977032,5.07517381523383,6.13988455222626,Cygnus_olor,-5.30121493493427,0
NL038,17,220,3872.93735603429,2.89037175789616,5.39816270151775,8.26202667347851,Cygnus_olor,-5.32652424489852,0
NL015,4,26,309.474145429734,1.6094379124341,3.29583686600433,5.73810063036951,Cygnus_olor,-2.76627869723349,0
NL052,40,363,1539.94003983968,3.71357206670431,5.89715386763674,7.34014792466024,Cygnus_olor,-5.94241295516049,0
NL055,4,6,138.29068884332,1.6094379124341,1.94591014905531,4.93656303607733,Cygnus_olor,-1.87652435884713,0
NL053,25,169,813.065396096326,3.25809653802148,5.13579843705026,6.7020407019602,Cygnus_olor,-5.08435859534875,0
NL041,7,34,888.321430301725,2.07944154167984,3.55534806148941,6.79045873405938,Cygnus_olor,-3.46706626502955,0
NL014,1,1,0,0.693147180559945,0.693147180559945,0,Cygnus_olor,0.542430059512254,0
LT006,3,17,0,1.38629436111989,2.89037175789616,0,Cygnus_olor,-1.08341371758158,0
NL048,10,12,457.555231827856,2.39789527279837,2.56494935746154,6.12808074644342,Cygnus_olor,-3.01642817101734,0
LT005,1,1,268.67102750191,0.693147180559945,0.693147180559945,5.59720279946572,Cygnus_olor,-0.742510131620577,1
NL063,25,111,2085.74879065867,3.25809653802148,4.71849887129509,7.64336253119727,Cygnus_olor,-5.0822904504082,0
NL013,1,1,52.0721681096681,0.693147180559945,0.693147180559945,3.97165264977709,Cygnus_olor,-0.369335387936768,0
NL075,7,11,0.25,2.07944154167984,2.484906649788,0.22314355131421,Cygnus_olor,-1.3997882747026,0
NL050,4,7,85.8333333333333,1.6094379124341,2.07944154167984,4.46399057252531,Cygnus_olor,-1.83784742500248,0
NL073,7,22,1480.61851196199,2.07944154167984,3.13549421592915,7.30089035838863,Cygnus_olor,-3.36474401202843,0
