"species_1","species_2","distance"
"Anas_clypeata","Ardea_purpurea",0.229098051786423
"Anas_clypeata","Arenaria_interpres",0.229098051786423
"Anas_clypeata","Aythya_ferina",0.106364198029041
"Anas_clypeata","Aythya_fuligula",0.106364198029041
"Anas_clypeata","Botaurus_stellaris",0.229098051786423
"Anas_clypeata","Branta_bernicla",0.158329948782921
"Anas_clypeata","Branta_canadensis",0.158329948782921
"Anas_clypeata","Branta_leucopsis",0.158329948782921
"Anas_clypeata","Bucephala_clangula",0.124575473368168
"Anas_clypeata","Calidris_alba",0.229098051786423
"Anas_clypeata","Calidris_alpina",0.229098051786423
"Anas_clypeata","Calidris_canutus",0.229098051786423
"Anas_clypeata","Calidris_ferruginea",0.229098051786423
"Anas_clypeata","Calidris_minuta",0.229098051786423
"Anas_clypeata","Cepphus_grylle",0.229098051786423
"Anas_clypeata","Charadrius_alexandrinus",0.229098051786423
"Anas_clypeata","Charadrius_dubius",0.229098051786423
"Anas_clypeata","Charadrius_hiaticula",0.229098051786423
"Anas_clypeata","Chlidonias_niger",0.229098051786423
"Anas_clypeata","Ciconia_ciconia",0.229098051786423
"Anas_clypeata","Cygnus_columbianus",0.158329948782921
"Anas_clypeata","Cygnus_cygnus",0.158329948782921
"Anas_clypeata","Cygnus_olor",0.158329948782921
"Anas_clypeata","Fulica_atra",0.229098051786423
"Anas_clypeata","Gallinago_gallinago",0.229098051786423
"Anas_clypeata","Gallinula_chloropus",0.229098051786423
"Anas_clypeata","Grus_grus",0.229098051786423
"Anas_clypeata","Haematopus_ostralegus",0.229098051786423
"Anas_clypeata","Hydroprogne_caspia",0.229098051786423
"Anas_clypeata","Larus_argentatus",0.229098051786423
"Anas_clypeata","Larus_canus",0.229098051786423
"Anas_clypeata","Larus_fuscus",0.229098051786423
"Anas_clypeata","Larus_marinus",0.229098051786423
"Anas_clypeata","Larus_melanocephalus",0.229098051786423
"Anas_clypeata","Larus_ridibundus",0.229098051786423
"Anas_clypeata","Limosa_lapponica",0.229098051786423
"Anas_clypeata","Limosa_limosa",0.229098051786423
"Anas_clypeata","Lymnocryptes_minimus",0.229098051786423
"Anas_clypeata","Mergus_merganser",0.124575473368168
"Anas_clypeata","Mergus_serrator",0.124575473368168
"Anas_clypeata","Morus_bassanus",0.229098051786423
"Anas_clypeata","Numenius_arquata",0.229098051786423
"Anas_clypeata","Numenius_phaeopus",0.229098051786423
"Anas_clypeata","Nycticorax_nycticorax",0.229098051786423
"Anas_clypeata","Phalacrocorax_aristotelis",0.229098051786423
"Anas_clypeata","Phalacrocorax_carbo",0.229098051786423
"Anas_clypeata","Philomachus_pugnax",0.229098051786423
