Country,Host,Latitude,Longitude,id,iba_label
Russia,Anas platyrhynchos,46.420702,51.705668,NA,NA
Netherlands,Aythya fuligula,53.202889,7.04588,185,NL017
Netherlands,Larus argentatus,52.366691,4.922819,186,NL072
Netherlands,Larus fuscus,53.226449,6.543324,187,NL052
Netherlands,Anas penelope,52.911554,4.970607,188,NL013
Netherlands,Fulica atra,51.98143,5.91446,189,NL094
Netherlands,Larus argentatus,52.465411,4.577375,NA,NA
Netherlands,Branta bernicla,51.7849,5.423875,NA,NA
Netherlands,Branta bernicla,51.76255,5.39241,NA,NA
Netherlands,Anser albifrons,51.780536,5.419323,NA,NA
Netherlands,Anser albifrons,52.26592,5.29273,194,NL075
Sweden,Anser anser,61.7345,17.1128,NA,NA
Netherlands,Cygnus olor,52.322778,4.945278,NA,NA
Netherlands,Cygnus olor,52.058974,4.945278,197,NL077
Netherlands,Anser albifrons,53.0667,5.8167,198,NL058
Iceland,Arenaria interpres,64.041,-22.7135,NA,NA
Iceland,Calidris alba,64.041,-22.7135,NA,NA
Iceland,Anser anser,63.936,-21.003,201,IS020
Iceland,Anser brachyrhynchus,63.936,-21.003,202,IS020
Iceland,Anas platyrhynchos,63.936,-21.003,203,IS020
Iceland,Larus marinus,64.041,-22.7135,NA,NA
Iceland,Larus argentatus,64.041,-22.7135,NA,NA
Iceland,Larus ridibundus,64.041,-22.7135,NA,NA
Iceland,Larus fuscus,64.041,-22.7135,NA,NA
Iceland,Larus fuscus,64.04131,-22.7136,NA,NA
Iceland,Larus fuscus,64.0422,-22.7141,NA,NA
Iceland,Arenaria interpres,64.0422,-22.7141,NA,NA
Iceland,Larus argentatus,64.04131,-22.7136,NA,NA
Iceland,Larus argentatus,64.24933,-15.1915,NA,NA
Iceland,Larus marinus,64.04131,-22.7136,NA,NA
Iceland,Anser anser,63.882,-21.005,214,IS020
Iceland,Anas platyrhynchos,63.882,-21.005,215,IS020
Iceland,Larus ridibundus,64.04131,-22.7136,NA,NA
Iceland,Somateria mollissima,65.1,-23.1,217,IS006
Iceland,Cepphus grylle,65.1,-23.1,218,IS006
Iceland,Arenaria interpres,64.0791,-22.6922,NA,NA
Iceland,Somateria mollissima,64.9206,-23.8234,NA,NA
Iceland,Phalacrocorax carbo,65.1,-23.1,221,IS006
Iceland,Larus argentatus,64.041216,-22.713056,NA,NA
Iceland,Larus marinus,64.041216,-22.713056,NA,NA
Iceland,Arenaria interpres,64.038282,-22.696241,NA,NA
Iceland,Calidris alba,64.038282,-22.696241,NA,NA
Iceland,Uria aalge,66.54235,-17.996116,226,IS046
Iceland,Larus fuscus,64.038282,-22.696241,NA,NA
Iceland,Anser anser,64.779262,-18.673522,NA,NA
Iceland,Anser anser,63.976753,-21.300886,229,IS019
Iceland,Anser anser,63.64849,-20.26759,230,IS029
Iceland,Haematopus ostralegus,64.063,-21.982,231,IS014
Iceland,Larus marinus,64.038812,-22.705929,NA,NA
Iceland,Larus argentatus,64.038812,-22.705929,NA,NA
Iceland,Arenaria interpres,64.063,-21.982,234,IS014
Iceland,Larus fuscus,64.038812,-22.705929,NA,NA
Iceland,Larus argentatus,64.063,-21.982,236,IS014
Iceland,Arenaria interpres,64.038812,-22.705929,NA,NA
Iceland,Calidris alba,64.038812,-22.705929,NA,NA
Iceland,Larus ridibundus,64.923,-23.25,NA,NA
Netherlands,Anas platyrhynchos,52.0076,5.9641,240,NL094
Netherlands,Anas platyrhynchos,51.9946,5.9755,241,NL094
Netherlands,Anas platyrhynchos,51.9833,5.9167,242,NL094
Netherlands,Anas platyrhynchos,52.2239,5.171,243,NL074
Netherlands,Anas platyrhynchos,52.3742,4.9014,244,NL072
Netherlands,Larus ridibundus,52.3512,5.6201,245,NL094
Netherlands,Larus ridibundus,53.4456,5.7583,246,NL014
Netherlands,Larus marinus,53.4456,5.7583,247,NL014
Netherlands,Larus ridibundus,52.559,5.9151,248,NL041
Netherlands,Arenaria interpres,53.4833,6.15,249,NL015
Netherlands,Calidris alpina,53.4833,6.15,250,NL015
Netherlands,Anser albifrons,52.2833,5.1167,251,NL074
Netherlands,Anas penelope,51.8667,4.6667,252,NL079
Netherlands,Anas strepera,51.9,4.6833,253,NL079
Netherlands,Anas penelope,51.9,4.6333,NA,NA
Netherlands,Anas platyrhynchos,51.9,4.6333,NA,NA
Netherlands,Anas clypeata,51.9,4.6333,NA,NA
Netherlands,Anser albifrons,51.7809,5.4156,NA,NA
Netherlands,Anser fabalis,52.2833,5.1167,258,NL074
Netherlands,Anas strepera,51.9,4.6333,NA,NA
Netherlands,Anser anser,52.2542,5.329,260,NL075
Netherlands,Anser fabalis,52.2225,5.483,261,NL094
Netherlands,Anser albifrons,53.1527,5.9171,262,NL055
Netherlands,Tadorna tadorna,51.9,4.6333,NA,NA
Netherlands,Larus ridibundus,52.0604,4.4933,264,NL089
Netherlands,Tringa totanus,53.4833,6.15,265,NL015
Hungary,Tringa glareola,47.68,16.83,266,AT004
Netherlands,Gallinula chloropus,51.9,4.6333,NA,NA
Netherlands,Anser fabalis,52.0912,5.1227,268,NL073
Netherlands,Branta leucopsis,51.7865,5.4123,NA,NA
Netherlands,Anser albifrons,52.0912,5.1227,270,NL073
Netherlands,Anser anser,52.2225,5.483,271,NL094
Netherlands,Branta leucopsis,52.0912,5.1227,272,NL073
Hungary,Anas crecca,47.692663,16.845217,273,AT004
Hungary,Anser albifrons,46.823595,19.191668,274,HU022
Netherlands,Chlidonias niger,52.795289,5.234814,275,NL034
Romania,Anser cygnoides,45.21,28.58,276,UA081
Romania,Anser cygnoides,45.247778,29.078889,277,RO001
Romania,Anser cygnoides,45.16,29.08,278,RO001
Netherlands,Cygnus columbianus,52.9628,5.0017,NA,NA
Netherlands,Cygnus columbianus,51.713,3.9513,280,NL028
Hungary,Anas crecca,47.6767,16.8318,281,AT004
Hungary,Gallinago gallinago,47.6767,16.8318,282,AT004
Bulgaria,Anas platyrhynchos,41.9,25.6,NA,NA
Bulgaria,Anas platyrhynchos,41.93,25.56,NA,NA
Bulgaria,Anas platyrhynchos,41.94,25.167,285,BG073
Bulgaria,Anas platyrhynchos,41.94,25.569,NA,NA
Bulgaria,Anas platyrhynchos,42.15,24.75,287,BG016
Bulgaria,Anas platyrhynchos,42.2,24.33,288,BG069
Bulgaria,Anas platyrhynchos,42.2,25.167,289,BG081
Bulgaria,Anas platyrhynchos,42.2,25.4667,NA,NA
Bulgaria,Anas platyrhynchos,42.2,25.467,NA,NA
Bulgaria,Anas platyrhynchos,42.217,25.233,292,BG081
Bulgaria,Anas platyrhynchos,42.25,25.15,293,BG081
Bulgaria,Anas platyrhynchos,42.33,25.22,NA,NA
Bulgaria,Anas platyrhynchos,42.333,25.7667,NA,NA
Bulgaria,Anas platyrhynchos,42.43,25.65,NA,NA
Bulgaria,Anas platyrhynchos,43.56,27.83,NA,NA
